127.0.0.1 - - [12/Sep/2023:13:42:23 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Sep/2023:13:42:24 +0900] "GET /JspMiniProject/index.jsp HTTP/1.1" 200 7249
0:0:0:0:0:0:0:1 - - [12/Sep/2023:13:42:24 +0900] "GET /JspMiniProject/menu/css/font-awesome.css HTTP/1.1" 200 15825
0:0:0:0:0:0:0:1 - - [12/Sep/2023:13:42:24 +0900] "GET /JspMiniProject/menu/css/menu.css HTTP/1.1" 200 3760
0:0:0:0:0:0:0:1 - - [12/Sep/2023:13:42:24 +0900] "GET /JspMiniProject/menu/js/jquery.js HTTP/1.1" 200 92633
0:0:0:0:0:0:0:1 - - [12/Sep/2023:13:42:24 +0900] "GET /JspMiniProject/menu/js/function.js HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [12/Sep/2023:13:42:24 +0900] "GET /JspMiniProject/image/spring/s1.webp HTTP/1.1" 200 9300
0:0:0:0:0:0:0:1 - - [12/Sep/2023:13:42:24 +0900] "GET /JspMiniProject/image/cat/1.jpg HTTP/1.1" 200 192346
0:0:0:0:0:0:0:1 - - [12/Sep/2023:13:42:24 +0900] "GET /JspMiniProject/image/cat/2.jpg HTTP/1.1" 200 320729
0:0:0:0:0:0:0:1 - - [12/Sep/2023:13:42:24 +0900] "GET /JspMiniProject/image/cat/3.jpg HTTP/1.1" 200 241863
0:0:0:0:0:0:0:1 - - [12/Sep/2023:13:42:24 +0900] "GET /JspMiniProject/image/cat/4.jpg HTTP/1.1" 200 416353
0:0:0:0:0:0:0:1 - - [12/Sep/2023:13:42:25 +0900] "GET /JspMiniProject/menu/images/plus-gray.png HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [12/Sep/2023:13:42:25 +0900] "GET /JspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [12/Sep/2023:13:42:27 +0900] "GET /JspMiniProject/index.jsp?main=shop/shoplist.jsp HTTP/1.1" 200 23636
0:0:0:0:0:0:0:1 - - [12/Sep/2023:13:42:27 +0900] "GET /JspMiniProject/shopsave/61.jpg HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [12/Sep/2023:13:42:27 +0900] "GET /JspMiniProject/shopsave/31.jpg HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [12/Sep/2023:13:42:27 +0900] "GET /JspMiniProject/shopsave/35.jpg HTTP/1.1" 404 845
