0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:10:14 +0900] "GET /AjaxProject/img/avata/b10.png HTTP/1.1" 200 17863
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:10:14 +0900] "GET /AjaxProject/img/avata/b7.png HTTP/1.1" 200 9092
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:12:23 +0900] "GET /AjaxProject/memo/memo.html HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:13:17 +0900] "GET /AjaxProject/memo/memo.html HTTP/1.1" 200 2233
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:13:18 +0900] "GET /AjaxProject/memo/memo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:16:30 +0900] "GET /AjaxProject/memo/memo.html HTTP/1.1" 200 2364
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:16:30 +0900] "GET /AjaxProject/img/avata/b2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:16:30 +0900] "GET /AjaxProject/img/avata/b1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:16:30 +0900] "GET /AjaxProject/img/avata/b3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:16:30 +0900] "GET /AjaxProject/img/avata/b6.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:16:30 +0900] "GET /AjaxProject/img/avata/b4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:16:30 +0900] "GET /AjaxProject/img/avata/b5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:16:30 +0900] "GET /AjaxProject/img/avata/b8.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:16:30 +0900] "GET /AjaxProject/img/avata/b9.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:16:30 +0900] "GET /AjaxProject/img/avata/b10.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:16:30 +0900] "GET /AjaxProject/img/avata/b7.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:18:52 +0900] "GET /AjaxProject/memo/memo.html HTTP/1.1" 200 2538
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:20:40 +0900] "GET /AjaxProject/memo/memo.html HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:20:48 +0900] "GET /AjaxProject/memo/memo.html HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:20:57 +0900] "GET /AjaxProject/memo/memo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:20:58 +0900] "GET /AjaxProject/memo/memo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:21:07 +0900] "GET /AjaxProject/memo/memo.html HTTP/1.1" 200 2612
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:21:13 +0900] "GET /AjaxProject/memo/memo.html HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:21:13 +0900] "GET /AjaxProject/img/avata/b1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:21:13 +0900] "GET /AjaxProject/img/avata/b3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:21:13 +0900] "GET /AjaxProject/img/avata/b5.png HTTP/1.1" 304 -
