0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:06:27 +0900] "GET /JspMiniProject/image/cat/3.jpg HTTP/1.1" 200 241863
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:06:27 +0900] "GET /JspMiniProject/image/cat/4.jpg HTTP/1.1" 200 416353
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:11:31 +0900] "GET /JspMiniProject/index.jsp HTTP/1.1" 200 4185
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:11:31 +0900] "GET /JspMiniProject/image/cat/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:11:31 +0900] "GET /JspMiniProject/image/s1.webp HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:11:31 +0900] "GET /JspMiniProject/image/cat/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:11:31 +0900] "GET /JspMiniProject/image/cat/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:11:31 +0900] "GET /JspMiniProject/image/cat/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:13:26 +0900] "GET /JspMiniProject/index.jsp HTTP/1.1" 200 4409
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:13:26 +0900] "GET /JspMiniProject/image/s1.webp HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:13:26 +0900] "GET /JspMiniProject/image/cat/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:13:26 +0900] "GET /JspMiniProject/image/cat/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:13:26 +0900] "GET /JspMiniProject/image/cat/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:13:26 +0900] "GET /JspMiniProject/image/cat/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:14:44 +0900] "GET /JspMiniProject/index.jsp HTTP/1.1" 200 4543
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:14:44 +0900] "GET /JspMiniProject/image/s1.webp HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:14:51 +0900] "GET /JspMiniProject/index.jsp HTTP/1.1" 200 4543
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:14:51 +0900] "GET /JspMiniProject/image/s1.webp HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:16:06 +0900] "GET /JspMiniProject/index.jsp HTTP/1.1" 200 4658
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:16:06 +0900] "GET /JspMiniProject/image/s1.webp HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:16:06 +0900] "GET /JspMiniProject/image/cat/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:16:06 +0900] "GET /JspMiniProject/image/cat/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:16:06 +0900] "GET /JspMiniProject/image/cat/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:16:06 +0900] "GET /JspMiniProject/image/cat/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:16:07 +0900] "GET /JspMiniProject/index.jsp HTTP/1.1" 200 4658
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:16:07 +0900] "GET /JspMiniProject/image/s1.webp HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:16:07 +0900] "GET /JspMiniProject/index.jsp HTTP/1.1" 200 4658
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:16:07 +0900] "GET /JspMiniProject/image/s1.webp HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:16:07 +0900] "GET /JspMiniProject/index.jsp HTTP/1.1" 200 4658
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:16:07 +0900] "GET /JspMiniProject/image/s1.webp HTTP/1.1" 404 843
