127.0.0.1 - - [08/Sep/2023:12:08:34 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:35 +0900] "GET /JspMiniProject/index.jsp HTTP/1.1" 200 7249
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:35 +0900] "GET /JspMiniProject/menu/css/font-awesome.css HTTP/1.1" 200 15825
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:35 +0900] "GET /JspMiniProject/menu/css/menu.css HTTP/1.1" 200 3760
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:35 +0900] "GET /JspMiniProject/menu/js/jquery.js HTTP/1.1" 200 92633
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:35 +0900] "GET /JspMiniProject/menu/js/function.js HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:35 +0900] "GET /JspMiniProject/image/cat/1.jpg HTTP/1.1" 200 192346
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:35 +0900] "GET /JspMiniProject/image/cat/2.jpg HTTP/1.1" 200 320729
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:35 +0900] "GET /JspMiniProject/image/cat/3.jpg HTTP/1.1" 200 241863
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:35 +0900] "GET /JspMiniProject/image/spring/s1.webp HTTP/1.1" 200 9300
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:35 +0900] "GET /JspMiniProject/image/cat/4.jpg HTTP/1.1" 200 416353
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:35 +0900] "GET /JspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:35 +0900] "GET /JspMiniProject/menu/images/plus-gray.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:37 +0900] "GET /JspMiniProject/index.jsp?main=shop/shoplist.jsp HTTP/1.1" 200 23635
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:37 +0900] "GET /JspMiniProject/shopsave/31.jpg HTTP/1.1" 200 40162
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:37 +0900] "GET /JspMiniProject/shopsave/35.jpg HTTP/1.1" 200 29244
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:37 +0900] "GET /JspMiniProject/shopsave/12.jpg HTTP/1.1" 200 5923
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:37 +0900] "GET /JspMiniProject/shopsave/33.jpg HTTP/1.1" 200 34514
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:37 +0900] "GET /JspMiniProject/shopsave/30.jpg HTTP/1.1" 200 48325
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:37 +0900] "GET /JspMiniProject/shopsave/61.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:37 +0900] "GET /JspMiniProject/shopsave/7.jpg HTTP/1.1" 200 15144
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:37 +0900] "GET /JspMiniProject/shopsave/5.jpg HTTP/1.1" 200 12816
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:37 +0900] "GET /JspMiniProject/shopsave/4.jpg HTTP/1.1" 200 15284
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:37 +0900] "GET /JspMiniProject/shopsave/3.jpg HTTP/1.1" 200 15037
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:37 +0900] "GET /JspMiniProject/shopsave/6.jpg HTTP/1.1" 200 13697
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:37 +0900] "GET /JspMiniProject/shopsave/2.jpg HTTP/1.1" 200 9770
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:37 +0900] "GET /JspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:38 +0900] "GET /JspMiniProject/index.jsp?main=shop/mycart.jsp HTTP/1.1" 200 8568
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:38 +0900] "GET /JspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:40 +0900] "GET /JspMiniProject/index.jsp?main=login/loginform.jsp HTTP/1.1" 200 7936
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:40 +0900] "GET /JspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:43 +0900] "POST /JspMiniProject/login/loginaction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:43 +0900] "GET /JspMiniProject/index.jsp?main=login/loginmain.jsp HTTP/1.1" 200 8292
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:43 +0900] "GET /JspMiniProject/image/cat/21.jpg HTTP/1.1" 200 267176
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:43 +0900] "GET /JspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:46 +0900] "GET /JspMiniProject/index.jsp?main=shop/addform.jsp HTTP/1.1" 200 9500
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:46 +0900] "GET /JspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:48 +0900] "GET /JspMiniProject/index.jsp?main=shop/shoplist.jsp HTTP/1.1" 200 24003
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:48 +0900] "GET /JspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:51 +0900] "GET /JspMiniProject/index.jsp?main=shop/shoplist.jsp HTTP/1.1" 200 24003
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:51 +0900] "GET /JspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:52 +0900] "GET /JspMiniProject/index.jsp?main=shop/shoplist.jsp HTTP/1.1" 200 24003
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:52 +0900] "GET /JspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:54 +0900] "GET /JspMiniProject/menu/font/fontawesome-webfont.woff?v=3.0.1 HTTP/1.1" 200 43572
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:55 +0900] "GET /JspMiniProject/index.jsp?main=board/boardlist.jsp HTTP/1.1" 200 11843
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:55 +0900] "GET /JspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:56 +0900] "GET /JspMiniProject HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:56 +0900] "GET /JspMiniProject/ HTTP/1.1" 200 7617
0:0:0:0:0:0:0:1 - - [08/Sep/2023:12:08:56 +0900] "GET /JspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
