127.0.0.1 - - [10/Sep/2023:14:58:41 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Sep/2023:14:58:42 +0900] "GET /JspMiniProject/guest/guestlist.jsp HTTP/1.1" 200 10099
0:0:0:0:0:0:0:1 - - [10/Sep/2023:14:58:42 +0900] "GET /JspMiniProject/guest/save/7.jpg HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [10/Sep/2023:14:58:42 +0900] "GET /JspMiniProject/guest/save/6.jpg HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [10/Sep/2023:14:58:51 +0900] "GET /JspMiniProject/guest/guest/ajaxlikes.jsp?num=21 HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [10/Sep/2023:14:58:53 +0900] "GET /JspMiniProject/guest/guestlist.jsp HTTP/1.1" 200 10099
0:0:0:0:0:0:0:1 - - [10/Sep/2023:14:58:53 +0900] "GET /JspMiniProject/guest/save/7.jpg HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [10/Sep/2023:14:58:53 +0900] "GET /JspMiniProject/guest/save/6.jpg HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [10/Sep/2023:14:58:54 +0900] "GET /JspMiniProject/guest/guestlist.jsp HTTP/1.1" 200 10099
0:0:0:0:0:0:0:1 - - [10/Sep/2023:14:58:54 +0900] "GET /JspMiniProject/guest/save/6.jpg HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [10/Sep/2023:14:58:54 +0900] "GET /JspMiniProject/guest/save/7.jpg HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [10/Sep/2023:15:03:10 +0900] "GET /sistSemiProject/RecomCourse/detailRecomCourse.jsp?name=%ED%9E%90%EB%A7%81 HTTP/1.1" 404 849
